,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente
0,Questão 1,C,913.0,0.29048679605472477,Geral
1,Questão 2,C,1783.0,0.5672923958001909,Geral
2,Questão 3,B,1201.0,0.38211899459115495,Geral
3,Questão 4,B,2226.0,0.7082405345211581,Geral
4,Questão 5,C,2054.0,0.6535157492841235,Geral
5,Questão 6,E,2762.0,0.8787782373528475,Geral
6,Questão 7,A,1225.0,0.3897550111358575,Geral
7,Questão 8,D,1684.0,0.5357938275532931,Geral
8,Questão 9,X,,,Específico
9,Questão 10,X,,,Específico
10,Questão 11,A,887.0,0.2822144447979637,Específico
11,Questão 12,C,1622.0,0.5160674514794782,Específico
12,Questão 13,E,1174.0,0.37352847597836464,Específico
13,Questão 14,Z,,,Específico
14,Questão 15,A,1491.0,0.47438752783964366,Específico
15,Questão 16,D,2400.0,0.7636016544702513,Específico
16,Questão 17,B,2427.0,0.7721921730830417,Específico
17,Questão 18,B,1150.0,0.3658924594336621,Específico
18,Questão 19,B,1668.0,0.5307031498568247,Específico
19,Questão 20,E,1503.0,0.4782055361119949,Específico
20,Questão 21,B,1021.0,0.3248488705058861,Específico
21,Questão 22,D,1425.0,0.45338848234171175,Específico
22,Questão 23,D,1446.0,0.46006999681832644,Específico
23,Questão 24,B,952.0,0.3028953229398664,Específico
24,Questão 25,X,,,Específico
25,Questão 26,E,1690.0,0.5377028316894686,Específico
26,Questão 27,A,1787.0,0.5685650652243079,Específico
27,Questão 28,E,1239.0,0.39420935412026725,Específico
28,Questão 29,X,,,Específico
29,Questão 30,C,1769.0,0.5628380528157811,Específico
30,Questão 31,B,1542.0,0.4906140629971365,Específico
31,Questão 32,D,967.0,0.30766783328030545,Específico
32,Questão 33,C,2664.0,0.847597836461979,Específico
33,Questão 34,C,1507.0,0.479478205536112,Específico
34,Questão 35,C,1838.0,0.5847916003818008,Específico
